Video Condition,,,,,,Text Condition,,,,,,Geogebra Condition,,,,,
"How much mental and perceptual activity was required to solve the geometry problems (e.g., thinking, calculating, deciding)?",How hurried or rushed did you feel while learning the triangle theorems and completing the problems at your own pace?,"How successful do you think you were in accurately solving the geometry problems (e.g., correctly determining the value of x or ?)?","How hard did you have to work (mentally) to understand the geometry concepts from your assigned medium (text, video, or simulation) and accomplish your level of performance on the test?","How insecure, discouraged, irritated, stressed, or annoyed were you during the learning phase and the problem-solving survey",How well were you able to sustain your focus and attention control while engaging with the instructional material and solving the problems?,"How much mental and perceptual activity was required to solve the geometry problems (e.g., thinking, calculating, deciding)?",How hurried or rushed did you feel while learning the triangle theorems and completing the problems at your own pace?,"How successful do you think you were in accurately solving the geometry problems (e.g., correctly determining the value of x or ?)?","How hard did you have to work (mentally) to understand the geometry concepts from your assigned medium (text, video, or simulation) and accomplish your level of performance on the test?","How insecure, discouraged, irritated, stressed, or annoyed were you during the learning phase and the problem-solving survey","How much mental and perceptual activity was required to solve the geometry problems (e.g., thinking, calculating, deciding)?","How much mental and perceptual activity was required to solve the geometry problems (e.g., thinking, calculating, deciding)?",How hurried or rushed did you feel while learning the triangle theorems and completing the problems at your own pace?,"How successful do you think you were in accurately solving the geometry problems (e.g., correctly determining the value of x or ?)?","How hard did you have to work (mentally) to understand the geometry concepts from your assigned medium (text, video, or simulation) and accomplish your level of performance on the test?","How insecure, discouraged, irritated, stressed, or annoyed were you during the learning phase and the problem-solving survey",How well were you able to sustain your focus and attention control while engaging with the instructional material and solving the problems?
5 - Highly demanding,1 - Not at all rushed (I took all the time I needed),5 - Strongly successful,3 - Moderate effort,4-Somewhat not stressed,"5 - Very Well (I maintained complete, sustained focus)",3 - Neutral,3 - Moderately rushed,4-Agree,3 - Moderate effort,4-Somewhat not stressed,4 - Somewhat demanding,4 - Somewhat demanding,1 - Not at all rushed (I took all the time I needed),5 - Strongly successful,1 - Very little effort,5 - Strongly not stressed,1 - Very Poorly (I experienced constant distraction or loss of focus)
3 - Neutral,4 - Very rushed,1-Strongly unsuccesful,4 - High effort,2-Somewhat stressed,"5 - Very Well (I maintained complete, sustained focus)",3 - Neutral, 5 - Extremely rushed (I felt pressure to finish quickly),4-Agree,1 - Very little effort,4-Somewhat not stressed,4 - Somewhat demanding,4 - Somewhat demanding,4 - Very rushed,1-Strongly unsuccesful,4 - High effort,4-Somewhat not stressed,4 - Well
4 - Somewhat demanding,2 - Slightly rushed,4-Agree,2 - Slight effort,4-Somewhat not stressed,2 - Poorly,4 - Somewhat demanding,2 - Slightly rushed,3 - Neutral,4 - High effort,2-Somewhat stressed,3 - Neutral,3 - Neutral,1 - Not at all rushed (I took all the time I needed),4-Agree,4 - High effort,4-Somewhat not stressed,3 - Moderately
4 - Somewhat demanding,2 - Slightly rushed,5 - Strongly successful,2 - Slight effort,4-Somewhat not stressed,"5 - Very Well (I maintained complete, sustained focus)",4 - Somewhat demanding,4 - Very rushed,3 - Neutral,4 - High effort,4-Somewhat not stressed,5 - Highly demanding,5 - Highly demanding,1 - Not at all rushed (I took all the time I needed),5 - Strongly successful,1 - Very little effort,5 - Strongly not stressed,1 - Very Poorly (I experienced constant distraction or loss of focus)
4 - Somewhat demanding,3 - Moderately rushed,4-Agree,2 - Slight effort,2-Somewhat stressed,2 - Poorly,4 - Somewhat demanding, 5 - Extremely rushed (I felt pressure to finish quickly),4-Agree,3 - Moderate effort,4-Somewhat not stressed,1-Strongly Demanding,1-Strongly Demanding,4 - Very rushed,4-Agree,3 - Moderate effort,3 - Neutral,3 - Moderately
4 - Somewhat demanding,3 - Moderately rushed,4-Agree,3 - Moderate effort,4-Somewhat not stressed,3 - Moderately,4 - Somewhat demanding,2 - Slightly rushed,3 - Neutral,4 - High effort,4-Somewhat not stressed,1-Strongly Demanding,1-Strongly Demanding,2 - Slightly rushed,3 - Neutral,2 - Slight effort,2-Somewhat stressed,"5 - Very Well (I maintained complete, sustained focus)"
3 - Neutral,4 - Very rushed,5 - Strongly successful,3 - Moderate effort,3 - Neutral,"5 - Very Well (I maintained complete, sustained focus)",3 - Neutral,2 - Slightly rushed,3 - Neutral,4 - High effort,4-Somewhat not stressed,4 - Somewhat demanding,4 - Somewhat demanding,2 - Slightly rushed,3 - Neutral,3 - Moderate effort,2-Somewhat stressed,3 - Moderately
2- Low demand, 5 - Extremely rushed (I felt pressure to finish quickly),4-Agree,2 - Slight effort,3 - Neutral,1 - Very Poorly (I experienced constant distraction or loss of focus),5 - Highly demanding,4 - Very rushed,4-Agree,4 - High effort,4-Somewhat not stressed,4 - Somewhat demanding,4 - Somewhat demanding,2 - Slightly rushed,3 - Neutral,1 - Very little effort,3 - Neutral,"5 - Very Well (I maintained complete, sustained focus)"
2- Low demand, 5 - Extremely rushed (I felt pressure to finish quickly),3 - Neutral,4 - High effort,4-Somewhat not stressed,2 - Poorly,4 - Somewhat demanding,2 - Slightly rushed,5 - Strongly successful,3 - Moderate effort,4-Somewhat not stressed,2- Low demand,2- Low demand, 5 - Extremely rushed (I felt pressure to finish quickly),2-Disagree,4 - High effort,4-Somewhat not stressed,4 - Well
4 - Somewhat demanding,3 - Moderately rushed,5 - Strongly successful,3 - Moderate effort,2-Somewhat stressed,"5 - Very Well (I maintained complete, sustained focus)",,,,,,4 - Somewhat demanding,4 - Somewhat demanding,4 - Very rushed,2-Disagree,4 - High effort,2-Somewhat stressed,3 - Moderately
